timestamp,close,sod,sod_1,sod_2
2016-11-15T00:00+01:00[Europe/Amsterdam],91.9500,57.153,54.580,54.391
2016-11-16T00:00+01:00[Europe/Amsterdam],92.4700,60.8355,58.1683,56.2167
2016-11-17T00:00+01:00[Europe/Amsterdam],93.1000,65.2975,61.0957,57.948
2016-11-18T00:00+01:00[Europe/Amsterdam],95.6800,83.5695,69.901,63.055
2016-11-21T00:00+01:00[Europe/Amsterdam],97.2700,89.5805,79.4827,70.160
2016-11-22T00:00+01:00[Europe/Amsterdam],98.5200,96.985,90.045,79.8097
2016-11-23T00:00+01:00[Europe/Amsterdam],98.6700,97.699,94.755,88.0943
2016-11-24T00:00+01:00[Europe/Amsterdam],98.6300,92.1315,95.6053,93.4683
2016-11-25T00:00+01:00[Europe/Amsterdam],97.8000,86.989,92.2733,94.211
2016-11-28T00:00+01:00[Europe/Amsterdam],97.0300,82.218,87.113,91.664
2016-11-29T00:00+01:00[Europe/Amsterdam],96.8300,80.979,83.3953,87.5937
2016-11-30T00:00+01:00[Europe/Amsterdam],96.9300,81.5985,81.5987,84.0357
2016-12-01T00:00+01:00[Europe/Amsterdam],94.7700,68.2155,76.9313,80.6417
2016-12-02T00:00+01:00[Europe/Amsterdam],92.6700,55.2045,68.3397,75.6233
2016-12-05T00:00+01:00[Europe/Amsterdam],93.0600,57.621,60.347,68.5393
2016-12-06T00:00+01:00[Europe/Amsterdam],94.6600,67.534,60.120,62.9357
2016-12-07T00:00+01:00[Europe/Amsterdam],94.7600,68.1535,64.4363,61.6343
2016-12-08T00:00+01:00[Europe/Amsterdam],95.8000,74.5975,70.0953,64.8837
2016-12-09T00:00+01:00[Europe/Amsterdam],96.8500,81.103,74.618,69.7167
2016-12-12T00:00+01:00[Europe/Amsterdam],96.3000,77.695,77.7987,74.1707
2016-12-13T00:00+01:00[Europe/Amsterdam],97.0700,82.466,80.4213,77.6127
2016-12-14T00:00+01:00[Europe/Amsterdam],97.5100,85.192,81.7843,80.0013
2016-12-15T00:00+01:00[Europe/Amsterdam],98.3000,90.087,85.915,82.707
2016-12-16T00:00+01:00[Europe/Amsterdam],100.600,97.303,90.8607,86.1867
2016-12-19T00:00+01:00[Europe/Amsterdam],102.800,99.773,95.721,90.8323
2016-12-20T00:00+01:00[Europe/Amsterdam],104.650,95.3965,97.491,94.691
2016-12-21T00:00+01:00[Europe/Amsterdam],105.050,96.813,97.3277,96.8467
2016-12-22T00:00+01:00[Europe/Amsterdam],104.800,95.8545,96.0217,96.947
2016-12-23T00:00+01:00[Europe/Amsterdam],105.100,96.936,96.5347,96.628
2016-12-27T00:00+01:00[Europe/Amsterdam],105.900,98.537,97.1093,96.555
2016-12-28T00:00+01:00[Europe/Amsterdam],106.150,98.9145,98.1293,97.2577
2016-12-29T00:00+01:00[Europe/Amsterdam],105.800,97.6485,98.367,97.8687
2016-12-30T00:00+01:00[Europe/Amsterdam],105.350,96.0205,97.528,98.008
2017-01-02T00:00+01:00[Europe/Amsterdam],105.850,97.8295,97.1663,97.687
2017-01-03T00:00+01:00[Europe/Amsterdam],106.450,97.264,97.038,97.244
2017-01-04T00:00+01:00[Europe/Amsterdam],104.75,91.450,95.5147,96.573
2017-01-05T00:00+01:00[Europe/Amsterdam],103.950,88.714,92.476,95.0097
2017-01-06T00:00+01:00[Europe/Amsterdam],104.100,89.227,89.797,92.596
2017-01-09T00:00+01:00[Europe/Amsterdam],104.850,91.792,89.911,90.728
2017-01-10T00:00+01:00[Europe/Amsterdam],106.300,96.751,92.590,90.766
2017-01-11T00:00+01:00[Europe/Amsterdam],106.200,96.409,94.984,92.495
2017-01-12T00:00+01:00[Europe/Amsterdam],106.100,96.067,96.409,94.661
2017-01-13T00:00+01:00[Europe/Amsterdam],106.800,97.328,96.6013,95.998
2017-01-16T00:00+01:00[Europe/Amsterdam],107.100,98.271,97.222,96.744
2017-01-17T00:00+01:00[Europe/Amsterdam],106.700,96.888,97.4957,97.1063
2017-01-18T00:00+01:00[Europe/Amsterdam],111.550,98.807,97.9887,97.569
2017-01-19T00:00+01:00[Europe/Amsterdam],112.650,93.433,96.376,97.2867
2017-01-20T00:00+01:00[Europe/Amsterdam],113.900,96.2155,96.152,96.839
2017-01-23T00:00+01:00[Europe/Amsterdam],112.25,92.5425,94.064,95.5307
2017-01-24T00:00+01:00[Europe/Amsterdam],113.400,95.1025,94.6203,94.9453
2017-01-25T00:00+01:00[Europe/Amsterdam],113.100,94.2185,93.9547,94.213
2017-01-26T00:00+01:00[Europe/Amsterdam],113.300,94.636,94.6523,94.409
2017-01-27T00:00+01:00[Europe/Amsterdam],112.400,92.5375,93.7977,94.135
2017-01-30T00:00+01:00[Europe/Amsterdam],112.300,92.304,93.1593,93.8697
2017-01-31T00:00+01:00[Europe/Amsterdam],112.100,91.8375,92.2267,93.0613
2017-02-01T00:00+01:00[Europe/Amsterdam],112.600,93.004,92.382,92.5893
2017-02-02T00:00+01:00[Europe/Amsterdam],112,91.6045,92.149,92.2527
2017-02-03T00:00+01:00[Europe/Amsterdam],113.550,95.219,93.276,92.6023
2017-02-06T00:00+01:00[Europe/Amsterdam],113.75,95.6855,94.170,93.1983
2017-02-07T00:00+01:00[Europe/Amsterdam],113.800,95.8025,95.5693,94.3383
2017-02-08T00:00+01:00[Europe/Amsterdam],114.950,97.596,96.3613,95.3667
2017-02-09T00:00+01:00[Europe/Amsterdam],115.800,99.542,97.647,96.526
2017-02-10T00:00+01:00[Europe/Amsterdam],116.75,98.3935,98.5107,97.5063
2017-02-13T00:00+01:00[Europe/Amsterdam],117.300,99.5405,99.159,98.439
2017-02-14T00:00+01:00[Europe/Amsterdam],118,97.9525,98.629,98.7663
2017-02-15T00:00+01:00[Europe/Amsterdam],118.5,97.3025,98.2653,98.6843
2017-02-16T00:00+01:00[Europe/Amsterdam],118.650,97.106,97.4537,98.116
2017-02-17T00:00+01:00[Europe/Amsterdam],117.850,95.325,96.578,97.4323
2017-02-20T00:00+01:00[Europe/Amsterdam],118.25,96.2155,96.2157,96.7493
2017-02-21T00:00+01:00[Europe/Amsterdam],117.700,94.7455,95.429,96.0743
2017-02-22T00:00+01:00[Europe/Amsterdam],117.5,93.5365,94.8327,95.4927
2017-02-23T00:00+01:00[Europe/Amsterdam],116.350,89.7135,92.6653,94.309
2017-02-24T00:00+01:00[Europe/Amsterdam],114.800,84.3305,89.1937,92.2307
2017-02-27T00:00+01:00[Europe/Amsterdam],115.050,82.3235,85.456,89.105
2017-02-28T00:00+01:00[Europe/Amsterdam],113.75,77.946,81.5333,85.3943
2017-03-01T00:00+01:00[Europe/Amsterdam],114.900,81.818,80.696,82.5617
2017-03-02T00:00+01:00[Europe/Amsterdam],115.550,84.007,81.257,81.162
2017-03-03T00:00+01:00[Europe/Amsterdam],115.150,82.660,82.8283,81.5937
2017-03-06T00:00+01:00[Europe/Amsterdam],113.900,78.451,81.706,81.9303
2017-03-07T00:00+01:00[Europe/Amsterdam],113.800,78.1145,79.742,81.4253
2017-03-08T00:00+01:00[Europe/Amsterdam],113.650,77.6095,78.0587,79.8357
2017-03-09T00:00+01:00[Europe/Amsterdam],112.400,73.4005,76.375,78.0587
2017-03-10T00:00+01:00[Europe/Amsterdam],116.150,86.027,79.0123,77.8153
2017-03-13T00:00+01:00[Europe/Amsterdam],115.400,83.5015,80.9767,78.788
2017-03-14T00:00+01:00[Europe/Amsterdam],116.25,86.3635,85.2977,81.7623
2017-03-15T00:00+01:00[Europe/Amsterdam],117.300,89.899,86.588,84.2873
2017-03-16T00:00+01:00[Europe/Amsterdam],116.200,86.1955,87.4863,86.4573
2017-03-17T00:00+01:00[Europe/Amsterdam],116.850,87.50,87.865,87.313
2017-03-20T00:00+01:00[Europe/Amsterdam],118.150,91.825,88.507,87.9527
